tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
329,16:04.6,21:33.9,3276,Marin Light Rail,40.71458404,-74.04281706,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,47252,Subscriber,1992,1
707,21:29.0,33:16.1,3483,Montgomery St,40.71942,-74.05099,3280,Astor Place,40.7192822,-74.07126188,48742,Subscriber,1960,1
615,25:46.9,36:02.9,3206,Hilltop,40.7311689,-74.0575736,3185,City Hall,40.7177325,-74.043845,42575,Customer,1969,0
586,26:13.5,35:59.8,3206,Hilltop,40.7311689,-74.0575736,3185,City Hall,40.7177325,-74.043845,30680,Customer,1969,0
567,27:09.5,36:36.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3187,Warren St,40.7211236,-74.03805095,33008,Subscriber,1970,1
506,27:11.5,35:37.5,3202,Newport PATH,40.7272235,-74.0337589,3681,Grand St,40.71517768,-74.03768331,33887,Subscriber,1956,1
599,28:27.8,38:27.7,3279,Dixon Mills,40.72163014,-74.04996783,3275,Columbus Drive,40.7183552,-74.03891444,17322,Customer,1993,2
1850,30:47.2,01:37.6,3639,Harborside,40.7192517,-74.034234,3187,Warren St,40.7211236,-74.03805095,44774,Subscriber,1982,1
779,32:26.7,45:26.3,3199,Newport Pkwy,40.7287448,-74.0321082,3209,Brunswick St,40.7241765,-74.0506564,45364,Subscriber,1963,1
275,34:21.7,38:57.3,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42186,Subscriber,1988,1
1358,40:05.0,02:43.2,3210,Pershing Field,40.74267714,-74.05178863,3639,Harborside,40.7192517,-74.034234,42496,Subscriber,1991,1
555,42:12.4,51:28.1,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3681,Grand St,40.71517768,-74.03768331,44401,Subscriber,1984,1
1149,45:48.8,04:58.0,3694,Jackson Square,40.71113,-74.0789,3679,Bergen Ave,40.72210379,-74.071455,26139,Subscriber,1996,1
650,46:01.5,56:52.5,3679,Bergen Ave,40.72210379,-74.071455,3481,York St,40.71649,-74.04105,46529,Subscriber,2001,1
536,59:28.9,08:25.8,3206,Hilltop,40.7311689,-74.0575736,3201,Dey St,40.737711,-74.066921,42580,Subscriber,1963,1
233,05:47.7,09:41.2,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,47029,Subscriber,1982,2
608,09:54.4,20:03.2,3199,Newport Pkwy,40.7287448,-74.0321082,3276,Marin Light Rail,40.71458404,-74.04281706,45340,Subscriber,1989,1
223,17:35.5,21:19.2,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,42151,Subscriber,1971,1
890,21:40.5,36:30.7,3678,Fairmount Ave,40.72572614,-74.07195926,3203,Hamilton Park,40.72759597,-74.04424731,40306,Subscriber,1959,1
300,22:13.9,27:14.0,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44703,Subscriber,1968,2
469,28:35.3,36:25.2,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42496,Subscriber,1991,1
4661,34:23.6,52:05.6,3210,Pershing Field,40.74267714,-74.05178863,3194,McGinley Square,40.72533993,-74.06762213,45150,Customer,1954,2
142,35:39.8,38:02.1,3267,Morris Canal,40.71241882,-74.03852552,3681,Grand St,40.71517768,-74.03768331,45281,Subscriber,1991,1
326,36:07.2,41:34.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42352,Subscriber,2000,1
567,36:25.8,45:53.2,3187,Warren St,40.7211236,-74.03805095,3272,Jersey & 3rd,40.72333159,-74.04595256,44400,Subscriber,1952,1
1596,36:57.2,03:33.2,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958612,-74.04311746,42293,Subscriber,1982,2
1833,37:04.2,07:37.5,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,40306,Subscriber,1959,1
566,42:17.1,51:43.2,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,42634,Subscriber,1969,1
1653,44:41.5,12:14.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3201,Dey St,40.737711,-74.066921,42316,Customer,1969,0
428,49:25.2,56:33.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,39533,Subscriber,1968,2
1747,55:04.5,24:12.3,3281,Leonard Gordon Park,40.74590997,-74.05727148,3280,Astor Place,40.7192822,-74.07126188,42422,Subscriber,1953,2
514,56:47.2,05:22.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3185,City Hall,40.7177325,-74.043845,44345,Subscriber,1986,1
