tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
220,01:12.5,04:52.8,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42574,Subscriber,1980,2,5,2020
2793,01:46.5,48:20.4,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,34305,Subscriber,1992,2,5,2020
922,01:58.9,17:21.5,3205,JC Medical Center,40.71653978,-74.04963791,3203,Hamilton Park,40.72759597,-74.04424731,42634,Subscriber,1977,1,5,2020
3894,02:10.8,07:05.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42129,Subscriber,1980,2,5,2020
445,03:18.4,10:43.8,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3278,Monmouth and 6th,40.72568548,-74.04879034,42278,Subscriber,1988,1,5,2020
93,03:22.7,04:55.9,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42546,Customer,1985,1,5,2020
891,03:31.9,18:23.0,3196,Riverview Park,40.7443187,-74.0439909,3209,Brunswick St,40.7241765,-74.0506564,42146,Subscriber,1973,1,5,2020
89,03:38.9,05:08.0,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42483,Customer,1991,2,5,2020
1624,04:01.5,31:05.7,3640,Journal Square,40.73367,-74.0625,3193,Lincoln Park,40.7246051,-74.07840595,42476,Customer,1982,1,5,2020
854,04:04.9,18:19.0,3196,Riverview Park,40.7443187,-74.0439909,3209,Brunswick St,40.7241765,-74.0506564,42601,Subscriber,1980,1,5,2020
1416,04:21.4,27:58.1,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,28210,Customer,1986,1,5,2020
6175,04:45.6,47:41.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3203,Hamilton Park,40.72759597,-74.04424731,42386,Customer,1987,2,5,2020
2902,05:39.8,54:02.6,3681,Grand St,40.71517768,-74.03768331,3681,Grand St,40.71517768,-74.03768331,42629,Customer,1973,2,5,2020
670,06:32.9,17:43.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3276,Marin Light Rail,40.71458404,-74.04281706,42549,Customer,1985,2,5,2020
663,06:42.6,17:46.6,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3276,Marin Light Rail,40.71458404,-74.04281706,42355,Customer,1985,1,5,2020
852,07:46.7,21:59.6,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42546,Customer,1985,1,5,2020
853,07:52.2,22:05.8,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42527,Customer,1991,2,5,2020
2455,09:40.7,50:36.1,3202,Newport PATH,40.7272235,-74.0337589,3185,City Hall,40.7177325,-74.043845,42547,Subscriber,1995,1,5,2020
2434,09:52.3,50:26.5,3202,Newport PATH,40.7272235,-74.0337589,3185,City Hall,40.7177325,-74.043845,42519,Subscriber,1994,2,5,2020
1561,10:21.3,36:22.4,3205,JC Medical Center,40.71653978,-74.04963791,3270,Jersey & 6th St,40.72528911,-74.04557168,42152,Subscriber,1962,2,5,2020
1555,10:24.1,36:20.0,3205,JC Medical Center,40.71653978,-74.04963791,3270,Jersey & 6th St,40.72528911,-74.04557168,42250,Subscriber,1963,1,5,2020
7741,10:28.8,19:29.8,3276,Marin Light Rail,40.71458404,-74.04281706,3481,York St,40.71649,-74.04105,42449,Customer,1969,0,5,2020
2542,10:31.6,52:54.4,3205,JC Medical Center,40.71653978,-74.04963791,3211,Newark Ave,40.72152515,-74.04630454,42172,Subscriber,1989,1,5,2020
2479,10:43.6,52:03.2,3267,Morris Canal,40.71241882,-74.03852552,3681,Grand St,40.71517768,-74.03768331,42451,Subscriber,1975,1,5,2020
2057,11:20.9,45:38.8,3187,Warren St,40.7211236,-74.03805095,3276,Marin Light Rail,40.71458404,-74.04281706,42177,Subscriber,1988,2,5,2020
5235,12:20.2,39:36.2,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42446,Customer,1969,0,5,2020
1566,13:02.4,39:08.5,3206,Hilltop,40.7311689,-74.0575736,3209,Brunswick St,40.7241765,-74.0506564,42171,Subscriber,1997,2,5,2020
4815,13:21.4,33:36.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42227,Customer,1969,0,5,2020
492,13:23.5,21:36.4,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42161,Subscriber,1973,1,5,2020
2822,14:18.7,01:21.3,3268,Lafayette Park,40.71346383,-74.06285852,3268,Lafayette Park,40.71346383,-74.06285852,42368,Subscriber,1984,1,5,2020
104,15:53.3,17:37.7,3270,Jersey & 6th St,40.72528911,-74.04557168,3269,Brunswick & 6th,40.72601173,-74.05038893,42321,Subscriber,1988,1,5,2020
